binary_package	binary_version	source_package	source_version
adwaita-icon-theme	43-1	adwaita-icon-theme	43-1
apt	2.6.1	apt	2.6.1
base-files	12.4+deb12u13	base-files	12.4+deb12u13
binutils-i686-linux-gnu	2.40-2	binutils	2.40-2
comerr-dev	2.1-1.47.0-2+b2	e2fsprogs	1.47.0-2
firebird-dev	3.0.11.33637.ds4-2+deb12u1	firebird3.0	3.0.11.33637.ds4-2+deb12u1
freetds-dev	1.3.17+ds-2	freetds	1.3.17+ds-2
gcc-12	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
gettext	0.21-12	gettext	0.21-12
krb5-multidev	1.20.1-2+deb12u4	krb5	1.20.1-2+deb12u4
libabsl20220623	20220623.1-1+deb12u2	abseil	20220623.1-1+deb12u2
libacl1	2.3.1-3	acl	2.3.1-3
libacl1-dev	2.3.1-3	acl	2.3.1-3
libaom3	3.6.0-1+deb12u2	aom	3.6.0-1+deb12u2
libapparmor1	3.0.8-3	apparmor	3.0.8-3
libapt-pkg6.0	2.6.1	apt	2.6.1
libarchive13	3.6.2-1+deb12u3	libarchive	3.6.2-1+deb12u3
libargon2-1	0~20171227-0.3+deb12u1	argon2	0~20171227-0.3+deb12u1
libasan8	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libasound2	1.2.8-1+b1	alsa-lib	1.2.8-1
libasound2-dev	1.2.8-1+b1	alsa-lib	1.2.8-1
libassuan0	2.5.5-5	libassuan	2.5.5-5
libasyncns0	0.8-6+b3	libasyncns	0.8-6
libatk-bridge2.0-0	2.46.0-5	at-spi2-core	2.46.0-5
libatk-bridge2.0-dev	2.46.0-5	at-spi2-core	2.46.0-5
libatk1.0-0	2.46.0-5	at-spi2-core	2.46.0-5
libatk1.0-dev	2.46.0-5	at-spi2-core	2.46.0-5
libatomic1	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libatspi2.0-0	2.46.0-5	at-spi2-core	2.46.0-5
