binary_package	binary_version	source_package	source_version	repo_relative_path	source_directory	repo_url
adwaita-icon-theme	43-1	adwaita-icon-theme	43-1	adwaita-icon-theme/43-1/adwaita-icon-theme_43-1.debian.tar.xz	adwaita-icon-theme/43-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/adwaita-icon-theme/43-1/adwaita-icon-theme_43-1.debian.tar.xz
adwaita-icon-theme	43-1	adwaita-icon-theme	43-1	adwaita-icon-theme/43-1/adwaita-icon-theme_43-1.dsc	adwaita-icon-theme/43-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/adwaita-icon-theme/43-1/adwaita-icon-theme_43-1.dsc
adwaita-icon-theme	43-1	adwaita-icon-theme	43-1	adwaita-icon-theme/43-1/adwaita-icon-theme_43.orig-41.tar.xz	adwaita-icon-theme/43-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/adwaita-icon-theme/43-1/adwaita-icon-theme_43.orig-41.tar.xz
adwaita-icon-theme	43-1	adwaita-icon-theme	43-1	adwaita-icon-theme/43-1/adwaita-icon-theme_43.orig.tar.xz	adwaita-icon-theme/43-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/adwaita-icon-theme/43-1/adwaita-icon-theme_43.orig.tar.xz
apt	2.6.1	apt	2.6.1	apt/2.6.1/apt_2.6.1.dsc	apt/2.6.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apt/2.6.1/apt_2.6.1.dsc
apt	2.6.1	apt	2.6.1	apt/2.6.1/apt_2.6.1.tar.xz	apt/2.6.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apt/2.6.1/apt_2.6.1.tar.xz
base-files	12.4+deb12u13	base-files	12.4+deb12u13	base-files/12.4+deb12u13/base-files_12.4+deb12u13.dsc	base-files/12.4+deb12u13	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/base-files/12.4+deb12u13/base-files_12.4+deb12u13.dsc
base-files	12.4+deb12u13	base-files	12.4+deb12u13	base-files/12.4+deb12u13/base-files_12.4+deb12u13.tar.xz	base-files/12.4+deb12u13	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/base-files/12.4+deb12u13/base-files_12.4+deb12u13.tar.xz
binutils-i686-linux-gnu	2.40-2	binutils	2.40-2	binutils/2.40-2/binutils_2.40-2.debian.tar.xz	binutils/2.40-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/binutils/2.40-2/binutils_2.40-2.debian.tar.xz
binutils-i686-linux-gnu	2.40-2	binutils	2.40-2	binutils/2.40-2/binutils_2.40-2.dsc	binutils/2.40-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/binutils/2.40-2/binutils_2.40-2.dsc
